id,area_calc,elev_mean,elev_med,elev_ran,elev_std,slope_mean,mvert_dist,mvert_ang,asp_mean,elon_ratio,strm_dens,p_mean,ref_et_mean,aridity,p_season,frac_snow,high_prec_fr,high_prec_du,high_prec_timing,lo_prec_fr,low_prec_du,low_prec_timing,p_mean_ERA5L,pet_mean_ERA5L,aridity_ERA5L,p_season_ERA5L,frac_snow_ERA5L,high_prec_fr_ERA5L,high_prec_du_ERA5L,high_prec_timing_ERA5L,lo_prec_fr_ERA5L,low_prec_du_ERA5L,low_prec_timing_ERA5L,lc_dom,agr_fra,bare_fra,forest_fra,glac_fra,lake_fra,urban_fra,scrub_fra,wetl_fra,lai_max,lai_diff,ndvi_max,ndvi_min,gvf_max,gvf_diff,bedrk_dep,root_dep,soil_poros,soil_tawc,sand_fra,silt_fra,clay_fra,grav_fra,oc_fra,gc_dom,gc_pa_fra,gc_pb_fra,gc_va_fra,gc_vb_fra,gc_23_dom,gc_23_pavr,gc_23_pb,gc_23_vapy,gc_23_vbsr,gc_23_vbpy,gc_23_vb,g_dom_NI,g621_fra,g701_fra,g743_fra,g746_fra,gbinn_fra,ggnew_fra,ggold_fra,ghraun_fra,gbnew_fra,gbold_fra,gmob_fra,gsgos_fra,gsinn_fra,gsn_fra,gsnew_fra,gsold_fra
63,52.215,380.332,396.596,976.912,231.589,369.283,12.4,210.0,191.355,0.658,0.41,5.44,0.51,0.09,-0.26,0.22,17.5,1.18,son,189.7,3.07,jja,5.49,1.78,0.32,-0.25,0.19,14.55,1.23,son,160.85,2.58,mam,322.0,0.031,0.354,0.0,0.0,0.0,0.0,0.568,0.016,0.97,0.97,0.42,0.01,0.58,0.58,1.0,0.1,0.471,0.018,0.43,0.34,0.224,0.254,0.014,vb,0.004,0.0,0.0,0.996,vb__sr,0.004,0.0,0.0,0.996,0.0,0.0,gold,0.0,0.0,0.0,0.0,0.006,0.0,0.896,0.0,0.0,0.0,0.0,0.021,0.077,0.0,0.0,0.0
64,1509.665,516.43,486.203,1051.149,189.462,84.518,60.4,335.0,195.792,0.726,0.45,2.15,0.69,0.32,-0.09,0.59,14.3,1.23,son,209.8,3.33,jja,2.74,0.82,0.3,-0.07,0.58,10.35,1.22,son,170.9,2.63,jja,332.0,0.004,0.707,0.03,0.0,0.03,0.002,0.207,0.014,0.35,0.35,0.21,-0.06,0.23,0.23,3.682,0.32,0.446,0.044,0.514,0.3,0.183,0.216,0.014,vb,0.0,0.0,0.0,1.0,vb____,0.0,0.0,0.0,0.0,0.353,0.647,bold,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.245,0.039,0.551,0.13,0.007,0.0,0.0,0.0,0.001
65,66.634,711.358,694.953,424.984,75.042,168.539,16.0,234.0,194.893,0.577,0.42,5.75,0.36,0.06,-0.4,0.49,13.75,1.18,djf,163.65,2.88,jja,4.77,0.69,0.15,-0.28,0.44,9.1,1.09,djf,134.2,2.44,mam,332.0,0.0,0.957,0.0,0.0,0.013,0.0,0.021,0.0,0.07,0.07,0.07,-0.07,0.01,0.01,1.105,0.1,0.475,0.014,0.43,0.34,0.23,0.26,0.014,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,1.0,0.0,mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,516.163,731.138,682.682,952.94,171.87,198.594,26.5,211.0,200.211,0.968,0.52,8.16,0.39,0.05,-0.49,0.55,12.7,1.15,djf,146.0,2.7,jja,5.95,0.48,0.08,-0.36,0.47,9.0,1.1,djf,123.3,2.35,mam,322.0,0.0,0.454,0.0,0.102,0.004,0.0,0.336,0.0,0.27,0.27,0.19,-0.08,0.19,0.19,1.396,0.106,0.473,0.015,0.438,0.336,0.226,0.258,0.014,vb,0.0,0.0,0.213,0.787,vbpy__,0.0,0.0,0.213,0.0,0.674,0.113,mob,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.009,0.111,0.557,0.157,0.0,0.0,0.009,0.02
67,507.444,348.255,353.243,989.271,166.804,146.581,41.1,219.0,185.519,0.618,0.36,3.75,0.5,0.13,-0.27,0.39,10.85,1.17,son,174.0,3.02,jja,3.32,1.45,0.44,-0.24,0.37,9.6,1.14,djf,164.3,2.92,jja,322.0,0.015,0.093,0.017,0.0,0.006,0.0,0.819,0.048,1.27,1.27,0.52,-0.02,0.77,0.77,2.528,0.777,0.392,0.101,0.728,0.167,0.109,0.109,0.011,vb,0.038,0.0,0.005,0.957,vb__sr,0.038,0.0,0.005,0.93,0.027,0.0,gold,0.0,0.0,0.002,0.0,0.001,0.031,0.905,0.0,0.0,0.013,0.004,0.024,0.021,0.0,0.0,0.0
68,37.819,335.397,329.886,381.641,78.604,72.21,10.4,215.0,186.412,0.667,0.27,3.54,0.6,0.17,-0.31,0.32,14.3,1.19,djf,188.1,3.19,jja,3.96,1.03,0.26,-0.25,0.32,9.25,1.13,djf,155.7,2.76,mam,322.0,0.0,0.224,0.0,0.0,0.0,0.0,0.731,0.045,0.86,0.86,0.43,-0.0,0.6,0.6,1.385,1.0,0.355,0.142,0.777,0.183,0.04,0.082,0.015,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,0.907,0.093,gnew,0.0,0.0,0.0,0.0,0.0,0.864,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0
69,204.379,633.33,634.248,571.645,78.041,108.788,26.0,40.0,181.485,0.621,0.42,2.13,0.63,0.3,-0.15,0.61,14.25,1.13,son,215.95,3.37,jja,2.79,0.74,0.26,-0.21,0.58,11.15,1.14,djf,173.2,2.62,jja,332.0,0.0,0.717,0.0,0.0,0.009,0.0,0.214,0.061,0.21,0.21,0.19,-0.07,0.17,0.17,0.889,0.199,0.464,0.026,0.463,0.324,0.212,0.245,0.014,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,1.0,0.0,mob,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.403,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0
70,265.043,402.188,388.322,963.202,175.463,104.597,49.5,16.0,188.539,0.371,0.39,3.16,0.55,0.18,-0.3,0.64,15.9,1.35,son,197.25,3.16,jja,2.93,0.98,0.34,-0.13,0.57,12.55,1.29,son,172.7,2.6,jja,322.0,0.002,0.29,0.0,0.0,0.0,0.0,0.555,0.153,0.96,0.96,0.46,-0.06,0.65,0.65,1.635,0.818,0.375,0.107,0.747,0.167,0.083,0.095,0.012,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.388,0.612,0.0,gold,0.0,0.0,0.0,0.0,0.0,0.188,0.412,0.004,0.0,0.0,0.397,0.0,0.0,0.0,0.0,0.0
72,693.774,543.396,547.117,1008.847,166.218,102.356,52.5,44.0,169.747,0.566,0.39,2.92,0.55,0.19,-0.28,0.66,13.9,1.34,son,199.15,3.13,jja,2.95,0.93,0.32,-0.16,0.6,12.5,1.27,son,171.1,2.56,jja,332.0,0.002,0.647,0.0,0.0,0.009,0.0,0.289,0.052,0.6,0.6,0.28,-0.06,0.33,0.33,0.986,0.855,0.373,0.116,0.73,0.191,0.074,0.101,0.013,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.102,0.898,0.0,mob,0.0,0.0,0.0,0.0,0.0,0.352,0.133,0.033,0.0,0.0,0.481,0.0,0.0,0.0,0.0,0.0
73,301.652,715.28,667.364,698.984,116.828,67.3,21.1,335.0,146.967,0.929,0.46,4.0,0.5,0.13,-0.46,0.61,13.6,1.2,djf,174.2,3.0,jja,3.26,0.62,0.19,-0.28,0.56,8.75,1.12,djf,151.5,2.64,jja,332.0,0.0,0.576,0.0,0.019,0.012,0.0,0.327,0.066,0.34,0.34,0.25,-0.06,0.3,0.3,16.011,0.958,0.355,0.132,0.796,0.157,0.048,0.074,0.013,vb,0.0,0.0,0.004,0.996,vbpy__,0.0,0.0,0.004,0.0,0.792,0.204,hraun,0.027,0.0,0.004,0.0,0.0,0.0,0.0,0.553,0.0,0.212,0.201,0.004,0.0,0.0,0.0,0.0
77,1947.866,818.257,782.258,1734.714,234.28,75.853,82.4,6.0,192.188,0.604,0.48,2.86,0.62,0.22,-0.34,0.67,10.3,1.18,djf,171.8,2.72,jja,3.09,0.55,0.18,-0.24,0.64,7.95,1.14,djf,142.35,2.31,jja,332.0,0.0,0.875,0.0,0.048,0.002,0.0,0.029,0.0,0.1,0.1,0.07,-0.07,0.03,0.03,7.777,0.402,0.434,0.057,0.549,0.286,0.164,0.198,0.014,vb,0.0,0.0,0.003,0.997,vbpy__,0.0,0.0,0.003,0.0,0.697,0.3,gnew,0.05,0.0,0.002,0.0,0.0,0.294,0.0,0.223,0.013,0.266,0.148,0.003,0.0,0.0,0.0,0.0
80,386.07,554.522,546.583,713.725,126.524,107.53,52.4,231.0,210.456,0.423,0.46,4.8,0.47,0.1,-0.26,0.42,12.4,1.14,djf,169.7,3.02,mam,4.33,1.07,0.25,-0.23,0.39,8.85,1.12,djf,152.85,2.79,mam,322.0,0.0,0.353,0.0,0.0,0.006,0.0,0.604,0.036,0.52,0.52,0.34,-0.04,0.44,0.44,1.008,1.0,0.354,0.141,0.783,0.176,0.041,0.079,0.014,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,1.0,0.0,gnew,0.0,0.0,0.0,0.0,0.0,0.611,0.0,0.022,0.0,0.0,0.367,0.0,0.0,0.0,0.0,0.0
82,3.844,143.204,123.771,219.331,54.854,59.231,5.5,350.0,170.16,0.4,0.0,5.23,0.64,0.12,-0.42,0.19,16.65,1.12,djf,177.1,3.15,jja,4.12,6.28,1.52,-0.16,0.19,8.1,1.07,djf,152.55,2.77,mam,322.0,0.002,0.0,0.0,0.0,0.0,0.0,0.998,0.0,1.26,1.26,0.55,0.02,0.71,0.71,1.0,1.0,0.404,0.134,0.763,0.116,0.121,0.085,0.011,vb,0.0,0.0,0.0,1.0,vb____,0.0,0.0,0.0,0.0,0.0,1.0,bold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.441,0.509,0.048,0.0,0.0,0.0,0.0,0.0
83,738.841,703.611,704.999,1138.639,212.123,69.641,59.9,345.0,191.144,0.512,0.5,2.49,0.66,0.27,-0.13,0.67,12.95,1.21,son,198.2,2.98,jja,3.04,0.65,0.21,-0.14,0.62,9.65,1.21,son,158.3,2.4,jja,332.0,0.0,0.946,0.0,0.0,0.003,0.0,0.045,0.002,0.11,0.11,0.1,-0.07,0.06,0.06,4.434,0.203,0.459,0.031,0.474,0.323,0.205,0.238,0.014,vb,0.0,0.0,0.0,1.0,vb____,0.0,0.0,0.0,0.0,0.249,0.751,bold,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.039,0.221,0.502,0.23,0.0,0.0,0.0,0.0,0.001
84,390.56,522.005,586.495,1091.341,221.838,152.188,44.6,347.0,158.249,0.5,0.38,2.32,0.66,0.29,-0.25,0.55,11.7,1.17,djf,197.55,3.13,jja,2.7,1.42,0.53,-0.13,0.48,8.0,1.08,djf,160.1,2.59,jja,322.0,0.069,0.362,0.0,0.0,0.0,0.0,0.551,0.019,1.1,1.1,0.45,-0.03,0.63,0.63,1.373,0.511,0.421,0.068,0.598,0.258,0.148,0.174,0.014,vb,0.0,0.0,0.0,1.0,vb__sr,0.0,0.0,0.0,0.736,0.264,0.0,gold,0.0,0.0,0.0,0.0,0.0,0.27,0.722,0.005,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
86,1074.429,729.782,673.38,816.314,164.287,155.704,72.2,239.0,197.308,0.513,0.42,5.73,0.43,0.08,-0.47,0.52,13.55,1.2,djf,157.1,2.87,jja,4.72,0.58,0.12,-0.32,0.5,8.75,1.09,djf,130.8,2.45,mam,332.0,0.0,0.595,0.0,0.11,0.033,0.0,0.117,0.001,0.12,0.12,0.11,-0.08,0.06,0.06,1.526,0.139,0.469,0.018,0.451,0.332,0.221,0.251,0.014,vb,0.0,0.0,0.14,0.86,vbpy__,0.0,0.0,0.14,0.0,0.673,0.188,mob,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.084,0.557,0.117,0.0,0.0,0.003,0.008
88,100.791,437.278,410.515,370.948,100.616,72.957,16.8,220.0,181.411,0.673,0.48,3.4,0.55,0.16,-0.45,0.42,13.2,1.2,djf,189.2,3.19,jja,3.66,1.2,0.33,-0.28,0.36,9.5,1.12,djf,157.05,2.69,jja,322.0,0.0,0.379,0.0,0.0,0.073,0.0,0.534,0.0,0.5,0.5,0.27,-0.04,0.3,0.3,1.281,1.0,0.355,0.142,0.777,0.183,0.04,0.082,0.015,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,0.879,0.121,gnew,0.0,0.0,0.0,0.004,0.0,0.688,0.0,0.08,0.0,0.136,0.091,0.0,0.0,0.0,0.0,0.0
91,449.701,549.472,518.962,901.048,122.64,53.244,37.6,344.0,163.805,0.636,0.5,2.62,0.6,0.23,-0.39,0.56,12.35,1.19,djf,192.1,3.17,jja,2.77,0.91,0.33,-0.18,0.48,8.45,1.12,djf,163.15,2.63,jja,322.0,0.0,0.201,0.0,0.0,0.031,0.0,0.579,0.189,0.67,0.67,0.4,-0.05,0.56,0.56,7.651,1.0,0.355,0.142,0.777,0.183,0.04,0.082,0.015,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.039,0.916,0.045,gnew,0.0,0.0,0.0,0.0,0.0,0.609,0.038,0.252,0.0,0.05,0.051,0.0,0.0,0.0,0.0,0.0
92,101.876,471.172,509.292,831.959,173.475,140.631,22.1,208.0,191.025,0.515,0.38,5.33,0.41,0.08,-0.37,0.52,11.95,1.11,son,160.85,2.85,jja,4.11,0.78,0.19,-0.34,0.47,10.05,1.14,djf,158.5,2.97,jja,332.0,0.0,0.661,0.0,0.0,0.045,0.0,0.293,0.0,0.38,0.38,0.21,-0.05,0.21,0.21,0.929,0.1,0.475,0.014,0.43,0.34,0.23,0.26,0.014,vb,0.0,0.0,0.0,1.0,vb__sr,0.0,0.0,0.0,1.0,0.0,0.0,gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,368.765,797.072,753.319,1629.55,287.859,78.895,58.9,350.0,193.823,0.368,0.46,3.13,0.59,0.19,-0.4,0.64,10.6,1.22,djf,171.5,2.94,jja,2.87,0.6,0.21,-0.22,0.58,7.65,1.12,djf,149.8,2.54,jja,332.0,0.004,0.646,0.0,0.173,0.004,0.0,0.121,0.009,0.24,0.24,0.15,-0.06,0.13,0.13,3.243,0.618,0.389,0.089,0.68,0.226,0.094,0.131,0.014,vb,0.0,0.0,0.013,0.987,vbpy__,0.0,0.0,0.013,0.066,0.892,0.029,hraun,0.186,0.0,0.0,0.0,0.0,0.318,0.052,0.349,0.0,0.007,0.088,0.0,0.0,0.0,0.0,0.0
94,382.843,491.647,482.187,827.694,134.658,50.529,40.7,325.0,211.537,0.542,0.52,2.64,0.58,0.22,-0.34,0.53,11.95,1.21,djf,192.2,3.14,jja,2.84,0.98,0.34,-0.18,0.45,8.9,1.15,djf,163.0,2.68,jja,322.0,0.006,0.052,0.0,0.0,0.011,0.0,0.56,0.372,0.99,0.99,0.47,-0.04,0.69,0.69,16.447,1.0,0.354,0.141,0.785,0.173,0.041,0.078,0.014,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.318,0.682,0.0,gnew,0.0,0.0,0.0,0.0,0.0,0.726,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,596.409,318.472,218.04,1454.95,255.761,93.866,51.2,248.0,213.037,0.538,0.48,4.42,0.7,0.16,-0.4,0.27,12.4,1.12,djf,168.7,2.92,jja,4.66,2.7,0.58,-0.26,0.29,7.9,1.13,djf,141.55,2.58,mam,322.0,0.032,0.49,0.009,0.003,0.001,0.0,0.415,0.026,0.85,0.85,0.34,-0.02,0.43,0.43,14.439,0.328,0.445,0.047,0.516,0.299,0.181,0.214,0.014,vb,0.0,0.0,0.01,0.99,vb____,0.0,0.0,0.01,0.0,0.284,0.706,bold,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.117,0.279,0.416,0.168,0.014,0.0,0.005,0.0,0.0
96,19.315,580.25,587.391,176.931,37.537,88.453,5.1,29.0,198.274,0.969,0.2,3.6,0.45,0.13,-0.43,0.51,13.0,1.18,djf,182.55,3.06,jja,3.74,0.88,0.23,-0.27,0.43,9.35,1.09,djf,151.2,2.67,mam,332.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.07,-0.07,0.01,0.01,10.5,1.0,0.355,0.142,0.777,0.183,0.04,0.082,0.015,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,1.0,0.0,mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.957,0.0,0.0,0.0,0.0,0.0
98,1201.485,210.875,126.622,1245.83,197.103,79.454,86.9,209.0,200.898,0.45,0.48,4.2,0.61,0.15,-0.22,0.23,10.8,1.09,son,170.15,3.05,jja,4.79,4.41,0.92,-0.22,0.23,8.9,1.11,djf,148.2,2.8,mam,322.0,0.121,0.141,0.014,0.016,0.008,0.004,0.496,0.132,1.75,1.75,0.54,0.03,0.74,0.74,5.332,0.925,0.355,0.122,0.806,0.145,0.049,0.066,0.012,vb,0.0,0.012,0.0,0.988,vbpy__,0.0,0.012,0.0,0.0,0.828,0.16,gnew,0.016,0.016,0.0,0.0,0.009,0.548,0.0,0.205,0.0,0.127,0.072,0.005,0.001,0.001,0.0,0.0
99,2044.255,826.239,757.249,1232.594,254.123,72.116,76.9,209.0,184.301,0.663,0.55,3.86,0.47,0.12,-0.33,0.61,10.45,1.13,djf,158.4,2.82,jja,3.59,0.46,0.13,-0.31,0.59,7.7,1.13,djf,141.2,2.55,jja,332.0,0.0,0.645,0.0,0.207,0.017,0.0,0.046,0.044,0.15,0.15,0.1,-0.08,0.06,0.06,19.544,0.54,0.388,0.077,0.688,0.225,0.092,0.128,0.014,vb,0.0,0.0,0.098,0.902,vbpy__,0.0,0.0,0.098,0.0,0.854,0.048,hraun,0.226,0.0,0.0,0.0,0.0,0.067,0.0,0.504,0.0,0.024,0.171,0.008,0.0,0.0,0.0,0.0
101,550.232,655.814,615.88,1122.454,129.29,79.388,36.5,188.0,186.298,0.725,0.47,3.96,0.44,0.11,-0.33,0.53,12.0,1.15,djf,173.7,3.07,jja,3.98,0.82,0.21,-0.23,0.47,8.6,1.13,djf,152.5,2.76,mam,332.0,0.0,0.778,0.0,0.0,0.008,0.0,0.15,0.046,0.27,0.27,0.16,-0.07,0.14,0.14,4.174,0.863,0.371,0.12,0.731,0.195,0.07,0.105,0.014,vb,0.0,0.0,0.01,0.99,vbpy__,0.0,0.0,0.01,0.0,0.967,0.024,hraun,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.413,0.0,0.028,0.289,0.02,0.0,0.0,0.0,0.0
103,279.869,502.116,491.653,1022.113,205.965,130.9,33.3,277.0,199.624,0.567,0.5,4.82,0.59,0.12,-0.57,0.43,13.8,1.21,djf,174.55,3.07,jja,4.38,0.82,0.19,-0.32,0.42,8.9,1.13,djf,141.45,2.55,mam,332.0,0.0,0.569,0.0,0.0,0.005,0.0,0.381,0.0,0.24,0.24,0.21,-0.07,0.22,0.22,1.233,0.318,0.445,0.047,0.505,0.302,0.181,0.217,0.014,vb,0.0,0.0,0.103,0.897,vb____,0.0,0.0,0.103,0.0,0.406,0.492,mob,0.0,0.015,0.0,0.0,0.0,0.018,0.0,0.0,0.019,0.401,0.436,0.107,0.0,0.0,0.0,0.005
104,781.299,870.729,785.068,1181.034,222.554,74.828,47.4,199.0,186.914,0.665,0.48,3.63,0.47,0.13,-0.36,0.65,10.4,1.13,djf,159.2,2.75,jja,3.2,0.45,0.14,-0.31,0.63,7.6,1.13,djf,142.3,2.47,jja,332.0,0.0,0.749,0.0,0.162,0.005,0.0,0.062,0.002,0.11,0.11,0.08,-0.08,0.03,0.03,19.805,0.625,0.386,0.089,0.692,0.222,0.09,0.126,0.014,vb,0.0,0.0,0.011,0.989,vbpy__,0.0,0.0,0.011,0.0,0.934,0.055,hraun,0.178,0.0,0.0,0.0,0.0,0.176,0.0,0.423,0.0,0.019,0.202,0.002,0.0,0.0,0.0,0.0
105,44.708,430.61,448.042,522.273,85.348,76.004,14.1,261.0,196.467,0.533,0.36,4.85,0.35,0.07,-0.58,0.66,13.9,1.32,djf,168.25,2.96,jja,3.72,0.95,0.25,-0.34,0.57,8.8,1.24,son,149.85,2.64,jja,333.0,0.0,0.58,0.0,0.0,0.052,0.0,0.367,0.0,0.38,0.38,0.21,-0.06,0.21,0.21,1.0,0.3,0.434,0.05,0.529,0.266,0.171,0.211,0.013,vb,0.0,0.0,0.0,1.0,vb__sr,0.0,0.0,0.0,1.0,0.0,0.0,gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,268.502,628.267,612.237,361.743,61.285,87.557,21.5,277.0,194.187,0.861,0.15,3.71,0.45,0.12,-0.46,0.5,13.0,1.23,djf,180.55,3.07,jja,3.91,0.82,0.21,-0.3,0.46,9.05,1.1,djf,147.95,2.64,mam,332.0,0.0,0.679,0.0,0.0,0.318,0.0,0.0,0.0,0.04,0.04,0.04,-0.2,0.0,0.0,1.477,0.181,0.457,0.027,0.484,0.316,0.2,0.235,0.014,vb,0.0,0.0,0.0,1.0,vbpy__,0.0,0.0,0.0,0.0,0.729,0.271,mob,0.0,0.0,0.289,0.0,0.0,0.0,0.0,0.012,0.019,0.294,0.387,0.0,0.0,0.0,0.0,0.0
